,idx,user_index,label,kind,idy,sim,topic_start
378000,0,162,C,recommendation,0,0,CR
378001,0,162,C,recommendation,0,0,CR
378002,0,162,C,recommendation,0,0,CR
378003,0,162,C,recommendation,0,0,CR
378004,0,162,CR,recommendation,0,0,CR
378005,0,162,CR,recommendation,0,0,CR
378006,0,162,C,recommendation,0,0,CR
378007,0,162,CR,recommendation,0,0,CR
378008,0,162,CR,recommendation,0,0,CR
378009,0,162,C,recommendation,0,0,CR
378010,0,162,CR,recommendation,0,0,CR
378011,0,162,CR,recommendation,0,0,CR
378012,0,162,CR,recommendation,0,0,CR
378013,0,162,C,recommendation,0,0,CR
378014,0,162,C,recommendation,0,0,CR
378015,0,162,C,recommendation,0,0,CR
378016,0,162,C,recommendation,0,0,CR
378017,0,162,C,recommendation,0,0,CR
378018,0,162,C,recommendation,0,0,CR
378019,0,162,C,recommendation,0,0,CR
378020,0,162,CR,choice,0,0,CR
378021,1,162,C,recommendation,0,0,CR
378022,1,162,CR,recommendation,0,0,CR
378023,1,162,C,recommendation,0,0,CR
378024,1,162,CR,recommendation,0,0,CR
378025,1,162,C,recommendation,0,0,CR
378026,1,162,CR,recommendation,0,0,CR
378027,1,162,C,recommendation,0,0,CR
378028,1,162,C,recommendation,0,0,CR
378029,1,162,C,recommendation,0,0,CR
378030,1,162,CR,recommendation,0,0,CR
378031,1,162,C,recommendation,0,0,CR
378032,1,162,CR,recommendation,0,0,CR
378033,1,162,CR,recommendation,0,0,CR
378034,1,162,C,recommendation,0,0,CR
378035,1,162,CR,recommendation,0,0,CR
378036,1,162,C,recommendation,0,0,CR
378037,1,162,CR,recommendation,0,0,CR
378038,1,162,C,recommendation,0,0,CR
378039,1,162,C,recommendation,0,0,CR
378040,1,162,CR,recommendation,0,0,CR
378041,1,162,C,choice,0,0,CR
378042,2,162,C,recommendation,0,0,CR
378043,2,162,C,recommendation,0,0,CR
378044,2,162,CR,recommendation,0,0,CR
378045,2,162,C,recommendation,0,0,CR
378046,2,162,CR,recommendation,0,0,CR
378047,2,162,C,recommendation,0,0,CR
378048,2,162,CR,recommendation,0,0,CR
378049,2,162,CR,recommendation,0,0,CR
378050,2,162,CR,recommendation,0,0,CR
378051,2,162,CR,recommendation,0,0,CR
378052,2,162,CR,recommendation,0,0,CR
378053,2,162,CR,recommendation,0,0,CR
378054,2,162,CR,recommendation,0,0,CR
378055,2,162,C,recommendation,0,0,CR
378056,2,162,CR,recommendation,0,0,CR
378057,2,162,CR,recommendation,0,0,CR
378058,2,162,CR,recommendation,0,0,CR
378059,2,162,CR,recommendation,0,0,CR
378060,2,162,C,recommendation,0,0,CR
378061,2,162,CR,recommendation,0,0,CR
378062,2,162,C,choice,0,0,CR
378063,3,162,C,recommendation,0,0,CR
378064,3,162,C,recommendation,0,0,CR
378065,3,162,CR,recommendation,0,0,CR
378066,3,162,C,recommendation,0,0,CR
378067,3,162,CR,recommendation,0,0,CR
378068,3,162,CR,recommendation,0,0,CR
378069,3,162,CR,recommendation,0,0,CR
378070,3,162,CR,recommendation,0,0,CR
378071,3,162,CR,recommendation,0,0,CR
378072,3,162,CR,recommendation,0,0,CR
378073,3,162,CR,recommendation,0,0,CR
378074,3,162,CR,recommendation,0,0,CR
378075,3,162,C,recommendation,0,0,CR
378076,3,162,CR,recommendation,0,0,CR
378077,3,162,CR,recommendation,0,0,CR
378078,3,162,CR,recommendation,0,0,CR
378079,3,162,CR,recommendation,0,0,CR
378080,3,162,C,recommendation,0,0,CR
378081,3,162,CR,recommendation,0,0,CR
378082,3,162,C,recommendation,0,0,CR
378083,3,162,CR,choice,0,0,CR
378084,4,162,C,recommendation,0,0,CR
378085,4,162,C,recommendation,0,0,CR
378086,4,162,CR,recommendation,0,0,CR
378087,4,162,C,recommendation,0,0,CR
378088,4,162,CR,recommendation,0,0,CR
378089,4,162,CR,recommendation,0,0,CR
378090,4,162,CR,recommendation,0,0,CR
378091,4,162,CR,recommendation,0,0,CR
378092,4,162,CR,recommendation,0,0,CR
378093,4,162,CR,recommendation,0,0,CR
378094,4,162,CR,recommendation,0,0,CR
378095,4,162,C,recommendation,0,0,CR
378096,4,162,CR,recommendation,0,0,CR
378097,4,162,CR,recommendation,0,0,CR
378098,4,162,CR,recommendation,0,0,CR
378099,4,162,CR,recommendation,0,0,CR
378100,4,162,C,recommendation,0,0,CR
378101,4,162,CR,recommendation,0,0,CR
378102,4,162,C,recommendation,0,0,CR
378103,4,162,CR,recommendation,0,0,CR
378104,4,162,C,choice,0,0,CR
378105,5,162,C,recommendation,0,0,CR
378106,5,162,C,recommendation,0,0,CR
378107,5,162,CR,recommendation,0,0,CR
378108,5,162,CR,recommendation,0,0,CR
378109,5,162,CR,recommendation,0,0,CR
378110,5,162,CR,recommendation,0,0,CR
378111,5,162,CR,recommendation,0,0,CR
378112,5,162,CR,recommendation,0,0,CR
378113,5,162,CR,recommendation,0,0,CR
378114,5,162,CR,recommendation,0,0,CR
378115,5,162,C,recommendation,0,0,CR
378116,5,162,CR,recommendation,0,0,CR
378117,5,162,CR,recommendation,0,0,CR
378118,5,162,CR,recommendation,0,0,CR
378119,5,162,CR,recommendation,0,0,CR
378120,5,162,C,recommendation,0,0,CR
378121,5,162,CR,recommendation,0,0,CR
378122,5,162,C,recommendation,0,0,CR
378123,5,162,CR,recommendation,0,0,CR
378124,5,162,CR,recommendation,0,0,CR
378125,5,162,C,choice,0,0,CR
378126,6,162,C,recommendation,0,0,CR
378127,6,162,C,recommendation,0,0,CR
378128,6,162,CR,recommendation,0,0,CR
378129,6,162,CR,recommendation,0,0,CR
378130,6,162,CR,recommendation,0,0,CR
378131,6,162,CR,recommendation,0,0,CR
378132,6,162,CR,recommendation,0,0,CR
378133,6,162,CR,recommendation,0,0,CR
378134,6,162,CR,recommendation,0,0,CR
378135,6,162,CR,recommendation,0,0,CR
378136,6,162,C,recommendation,0,0,CR
378137,6,162,CR,recommendation,0,0,CR
378138,6,162,CR,recommendation,0,0,CR
378139,6,162,CR,recommendation,0,0,CR
378140,6,162,CR,recommendation,0,0,CR
378141,6,162,CR,recommendation,0,0,CR
