,idx,user_index,label,kind,idy,sim,topic_start
0,0,482,CL,recommendation,0,0,L
1,0,482,CL,recommendation,0,0,L
2,0,482,CL,recommendation,0,0,L
3,0,482,CL,recommendation,0,0,L
4,0,482,CL,recommendation,0,0,L
5,0,482,CL,recommendation,0,0,L
6,0,482,CL,recommendation,0,0,L
7,0,482,CL,recommendation,0,0,L
8,0,482,CL,recommendation,0,0,L
9,0,482,CL,recommendation,0,0,L
10,0,482,CL,recommendation,0,0,L
11,0,482,CL,recommendation,0,0,L
12,0,482,L,recommendation,0,0,L
13,0,482,CL,recommendation,0,0,L
14,0,482,CL,recommendation,0,0,L
15,0,482,CL,recommendation,0,0,L
16,0,482,CL,recommendation,0,0,L
17,0,482,CL,recommendation,0,0,L
18,0,482,CL,recommendation,0,0,L
19,0,482,CL,recommendation,0,0,L
20,0,482,CL,choice,0,0,L
21,1,482,CL,recommendation,0,0,L
22,1,482,CL,recommendation,0,0,L
23,1,482,CL,recommendation,0,0,L
24,1,482,CL,recommendation,0,0,L
25,1,482,CL,recommendation,0,0,L
26,1,482,CL,recommendation,0,0,L
27,1,482,CL,recommendation,0,0,L
28,1,482,CL,recommendation,0,0,L
29,1,482,CL,recommendation,0,0,L
30,1,482,CL,recommendation,0,0,L
31,1,482,CL,recommendation,0,0,L
32,1,482,CL,recommendation,0,0,L
33,1,482,CL,recommendation,0,0,L
34,1,482,CL,recommendation,0,0,L
35,1,482,CL,recommendation,0,0,L
36,1,482,CL,recommendation,0,0,L
37,1,482,CL,recommendation,0,0,L
38,1,482,CL,recommendation,0,0,L
39,1,482,L,recommendation,0,0,L
40,1,482,CL,recommendation,0,0,L
41,1,482,CL,choice,0,0,L
42,2,482,CL,recommendation,0,0,L
43,2,482,CL,recommendation,0,0,L
44,2,482,CL,recommendation,0,0,L
45,2,482,CL,recommendation,0,0,L
46,2,482,CL,recommendation,0,0,L
47,2,482,CL,recommendation,0,0,L
48,2,482,CL,recommendation,0,0,L
