,idx,user_index,label,kind,idy,sim,topic_start
126000,0,424,CL,recommendation,0,0,CL
126001,0,424,CL,recommendation,0,0,CL
126002,0,424,CL,recommendation,0,0,CL
126003,0,424,CL,recommendation,0,0,CL
126004,0,424,CL,recommendation,0,0,CL
126005,0,424,CL,recommendation,0,0,CL
126006,0,424,CL,recommendation,0,0,CL
126007,0,424,CL,recommendation,0,0,CL
126008,0,424,CL,recommendation,0,0,CL
126009,0,424,CL,recommendation,0,0,CL
126010,0,424,CL,recommendation,0,0,CL
126011,0,424,CL,recommendation,0,0,CL
126012,0,424,CL,recommendation,0,0,CL
126013,0,424,CL,recommendation,0,0,CL
126014,0,424,L,recommendation,0,0,CL
126015,0,424,CL,recommendation,0,0,CL
126016,0,424,CL,recommendation,0,0,CL
126017,0,424,CL,recommendation,0,0,CL
126018,0,424,CL,recommendation,0,0,CL
126019,0,424,CL,recommendation,0,0,CL
126020,0,424,CL,choice,0,0,CL
126021,1,424,CL,recommendation,0,0,CL
126022,1,424,CL,recommendation,0,0,CL
126023,1,424,CL,recommendation,0,0,CL
126024,1,424,CL,recommendation,0,0,CL
126025,1,424,CL,recommendation,0,0,CL
126026,1,424,CL,recommendation,0,0,CL
126027,1,424,CL,recommendation,0,0,CL
126028,1,424,CL,recommendation,0,0,CL
126029,1,424,CL,recommendation,0,0,CL
126030,1,424,CL,recommendation,0,0,CL
126031,1,424,CL,recommendation,0,0,CL
126032,1,424,CL,recommendation,0,0,CL
126033,1,424,CL,recommendation,0,0,CL
126034,1,424,CL,recommendation,0,0,CL
126035,1,424,L,recommendation,0,0,CL
126036,1,424,CL,recommendation,0,0,CL
126037,1,424,C,recommendation,0,0,CL
126038,1,424,CL,recommendation,0,0,CL
126039,1,424,CL,recommendation,0,0,CL
126040,1,424,CL,recommendation,0,0,CL
126041,1,424,CL,choice,0,0,CL
126042,2,424,CL,recommendation,0,0,CL
126043,2,424,CL,recommendation,0,0,CL
126044,2,424,CL,recommendation,0,0,CL
