,idx,user_index,label,kind,idy,sim,topic_start
404460,0,450,C,recommendation,963,0,CR
404461,0,450,CR,recommendation,963,0,CR
404462,0,450,CR,recommendation,963,0,CR
404463,0,450,C,recommendation,963,0,CR
404464,0,450,C,recommendation,963,0,CR
404465,0,450,CR,recommendation,963,0,CR
404466,0,450,CR,recommendation,963,0,CR
404467,0,450,C,recommendation,963,0,CR
404468,0,450,CR,recommendation,963,0,CR
404469,0,450,CR,recommendation,963,0,CR
404470,0,450,CR,recommendation,963,0,CR
404471,0,450,C,recommendation,963,0,CR
404472,0,450,CR,recommendation,963,0,CR
404473,0,450,CR,recommendation,963,0,CR
404474,0,450,C,recommendation,963,0,CR
404475,0,450,C,recommendation,963,0,CR
404476,0,450,CR,recommendation,963,0,CR
404477,0,450,C,recommendation,963,0,CR
404478,0,450,C,recommendation,963,0,CR
404479,0,450,CR,recommendation,963,0,CR
404480,0,450,CR,choice,963,0,CR
404481,1,450,C,recommendation,963,0,CR
404482,1,450,CR,recommendation,963,0,CR
404483,1,450,CR,recommendation,963,0,CR
404484,1,450,C,recommendation,963,0,CR
404485,1,450,CR,recommendation,963,0,CR
404486,1,450,CR,recommendation,963,0,CR
404487,1,450,C,recommendation,963,0,CR
404488,1,450,CR,recommendation,963,0,CR
404489,1,450,CR,recommendation,963,0,CR
404490,1,450,C,recommendation,963,0,CR
404491,1,450,CR,recommendation,963,0,CR
404492,1,450,CR,recommendation,963,0,CR
404493,1,450,CR,recommendation,963,0,CR
404494,1,450,CR,recommendation,963,0,CR
404495,1,450,C,recommendation,963,0,CR
404496,1,450,CR,recommendation,963,0,CR
404497,1,450,CR,recommendation,963,0,CR
404498,1,450,CR,recommendation,963,0,CR
404499,1,450,C,recommendation,963,0,CR
404500,1,450,C,recommendation,963,0,CR
404501,1,450,CR,choice,963,0,CR
404502,2,450,CR,recommendation,963,0,CR
404503,2,450,CR,recommendation,963,0,CR
404504,2,450,CR,recommendation,963,0,CR
404505,2,450,C,recommendation,963,0,CR
404506,2,450,CR,recommendation,963,0,CR
404507,2,450,CR,recommendation,963,0,CR
404508,2,450,CR,recommendation,963,0,CR
404509,2,450,CR,recommendation,963,0,CR
404510,2,450,C,recommendation,963,0,CR
404511,2,450,CR,recommendation,963,0,CR
404512,2,450,CR,recommendation,963,0,CR
404513,2,450,C,recommendation,963,0,CR
404514,2,450,CR,recommendation,963,0,CR
404515,2,450,CR,recommendation,963,0,CR
404516,2,450,CR,recommendation,963,0,CR
404517,2,450,CR,recommendation,963,0,CR
404518,2,450,CR,recommendation,963,0,CR
404519,2,450,CR,recommendation,963,0,CR
404520,2,450,CR,recommendation,963,0,CR
404521,2,450,C,recommendation,963,0,CR
404522,2,450,CR,choice,963,0,CR
404523,3,450,CR,recommendation,963,0,CR
404524,3,450,CR,recommendation,963,0,CR
404525,3,450,CR,recommendation,963,0,CR
404526,3,450,C,recommendation,963,0,CR
404527,3,450,CR,recommendation,963,0,CR
404528,3,450,CR,recommendation,963,0,CR
404529,3,450,CR,recommendation,963,0,CR
404530,3,450,CR,recommendation,963,0,CR
404531,3,450,C,recommendation,963,0,CR
404532,3,450,CR,recommendation,963,0,CR
404533,3,450,C,recommendation,963,0,CR
404534,3,450,CR,recommendation,963,0,CR
404535,3,450,CR,recommendation,963,0,CR
404536,3,450,CR,recommendation,963,0,CR
404537,3,450,CR,recommendation,963,0,CR
404538,3,450,CR,recommendation,963,0,CR
404539,3,450,CR,recommendation,963,0,CR
404540,3,450,CR,recommendation,963,0,CR
404541,3,450,C,recommendation,963,0,CR
404542,3,450,C,recommendation,963,0,CR
404543,3,450,CR,choice,963,0,CR
404544,4,450,CR,recommendation,963,0,CR
