,idx,user_index,label,kind,idy,sim,topic_start
152880,0,599,R,recommendation,364,0,R
152881,0,599,CR,recommendation,364,0,R
152882,0,599,R,recommendation,364,0,R
152883,0,599,R,recommendation,364,0,R
152884,0,599,CR,recommendation,364,0,R
152885,0,599,CR,recommendation,364,0,R
152886,0,599,CR,recommendation,364,0,R
152887,0,599,CR,recommendation,364,0,R
152888,0,599,CR,recommendation,364,0,R
152889,0,599,CR,recommendation,364,0,R
152890,0,599,CR,recommendation,364,0,R
152891,0,599,CR,recommendation,364,0,R
152892,0,599,CR,recommendation,364,0,R
152893,0,599,R,recommendation,364,0,R
152894,0,599,CR,recommendation,364,0,R
152895,0,599,R,recommendation,364,0,R
152896,0,599,CR,recommendation,364,0,R
152897,0,599,CR,recommendation,364,0,R
152898,0,599,CR,recommendation,364,0,R
152899,0,599,CR,recommendation,364,0,R
152900,0,599,CR,choice,364,0,R
152901,1,599,R,recommendation,364,0,R
152902,1,599,CR,recommendation,364,0,R
152903,1,599,R,recommendation,364,0,R
152904,1,599,R,recommendation,364,0,R
152905,1,599,CR,recommendation,364,0,R
152906,1,599,CR,recommendation,364,0,R
152907,1,599,CR,recommendation,364,0,R
152908,1,599,CR,recommendation,364,0,R
152909,1,599,CR,recommendation,364,0,R
152910,1,599,CR,recommendation,364,0,R
152911,1,599,CR,recommendation,364,0,R
152912,1,599,CR,recommendation,364,0,R
152913,1,599,CR,recommendation,364,0,R
152914,1,599,R,recommendation,364,0,R
152915,1,599,CR,recommendation,364,0,R
152916,1,599,R,recommendation,364,0,R
152917,1,599,CR,recommendation,364,0,R
152918,1,599,CR,recommendation,364,0,R
152919,1,599,CR,recommendation,364,0,R
152920,1,599,CR,recommendation,364,0,R
152921,1,599,CR,choice,364,0,R
152922,2,599,R,recommendation,364,0,R
152923,2,599,CR,recommendation,364,0,R
152924,2,599,R,recommendation,364,0,R
152925,2,599,R,recommendation,364,0,R
152926,2,599,CR,recommendation,364,0,R
152927,2,599,CR,recommendation,364,0,R
152928,2,599,CR,recommendation,364,0,R
152929,2,599,CR,recommendation,364,0,R
152930,2,599,CR,recommendation,364,0,R
152931,2,599,CR,recommendation,364,0,R
152932,2,599,CR,recommendation,364,0,R
152933,2,599,CR,recommendation,364,0,R
152934,2,599,R,recommendation,364,0,R
152935,2,599,CR,recommendation,364,0,R
152936,2,599,R,recommendation,364,0,R
152937,2,599,CR,recommendation,364,0,R
152938,2,599,CR,recommendation,364,0,R
152939,2,599,CR,recommendation,364,0,R
152940,2,599,CR,recommendation,364,0,R
152941,2,599,CR,recommendation,364,0,R
152942,2,599,CR,choice,364,0,R
152943,3,599,R,recommendation,364,0,R
152944,3,599,CR,recommendation,364,0,R
152945,3,599,R,recommendation,364,0,R
152946,3,599,CR,recommendation,364,0,R
152947,3,599,R,recommendation,364,0,R
152948,3,599,CR,recommendation,364,0,R
152949,3,599,CR,recommendation,364,0,R
152950,3,599,CR,recommendation,364,0,R
152951,3,599,CR,recommendation,364,0,R
152952,3,599,CR,recommendation,364,0,R
152953,3,599,CR,recommendation,364,0,R
152954,3,599,R,recommendation,364,0,R
152955,3,599,CR,recommendation,364,0,R
152956,3,599,R,recommendation,364,0,R
152957,3,599,CR,recommendation,364,0,R
152958,3,599,CR,recommendation,364,0,R
152959,3,599,CR,recommendation,364,0,R
152960,3,599,CR,recommendation,364,0,R
152961,3,599,CR,recommendation,364,0,R
152962,3,599,CR,recommendation,364,0,R
152963,3,599,R,choice,364,0,R
152964,4,599,R,recommendation,364,0,R
152965,4,599,CR,recommendation,364,0,R
152966,4,599,CR,recommendation,364,0,R
152967,4,599,R,recommendation,364,0,R
152968,4,599,CR,recommendation,364,0,R
152969,4,599,R,recommendation,364,0,R
152970,4,599,R,recommendation,364,0,R
152971,4,599,CR,recommendation,364,0,R
152972,4,599,CR,recommendation,364,0,R
152973,4,599,CR,recommendation,364,0,R
152974,4,599,CR,recommendation,364,0,R
152975,4,599,CR,recommendation,364,0,R
152976,4,599,CR,recommendation,364,0,R
152977,4,599,CR,recommendation,364,0,R
152978,4,599,CR,recommendation,364,0,R
152979,4,599,CR,recommendation,364,0,R
152980,4,599,R,recommendation,364,0,R
152981,4,599,CR,recommendation,364,0,R
152982,4,599,CR,recommendation,364,0,R
152983,4,599,CR,recommendation,364,0,R
152984,4,599,CR,choice,364,0,R
152985,5,599,R,recommendation,364,0,R
152986,5,599,R,recommendation,364,0,R
152987,5,599,CR,recommendation,364,0,R
152988,5,599,CR,recommendation,364,0,R
