Plot,Line,Measure,Iteration,Value
User:C/Measure:L,recommendation,L,1,0.0007695087605612741
User:C/Measure:L,recommendation,L,2,0.0005863220596665254
User:C/Measure:L,recommendation,L,3,0.0005950452358996087
User:C/Measure:L,recommendation,L,4,0.0006380380330483763
User:C/Measure:L,recommendation,L,5,0.0006910001744635247
User:C/Measure:L,recommendation,L,6,0.0007501931560451611
User:C/Measure:L,recommendation,L,7,0.0008131246417266905
User:C/Measure:L,recommendation,L,8,0.0008978640679909279
User:C/Measure:L,recommendation,L,9,0.0009801111581885702
User:C/Measure:L,recommendation,L,10,0.00106360441641951
User:C/Measure:L,recommendation,L,11,0.0011651671111332653
User:C/Measure:L,recommendation,L,12,0.001274206814046806
User:C/Measure:L,recommendation,L,13,0.001357700072277746
User:C/Measure:L,recommendation,L,14,0.0014823168756075069
User:C/Measure:L,recommendation,L,15,0.001593848914587643
User:C/Measure:L,recommendation,L,16,0.0016885576851182614
User:C/Measure:L,recommendation,L,17,0.0018025820601649926
User:C/Measure:L,recommendation,L,18,0.0019284450315280512
User:C/Measure:L,recommendation,L,19,0.002033746230341699
User:C/Measure:L,recommendation,L,20,0.0021726939660543826
User:C/Measure:CL,recommendation,CL,1,0.03783241532288214
User:C/Measure:CL,recommendation,CL,2,0.034133165516038184
User:C/Measure:CL,recommendation,CL,3,0.033559928220721284
User:C/Measure:CL,recommendation,CL,4,0.03347269645839045
User:C/Measure:CL,recommendation,CL,5,0.03328203274929591
User:C/Measure:CL,recommendation,CL,6,0.033445280761657904
User:C/Measure:CL,recommendation,CL,7,0.03364404456296887
User:C/Measure:CL,recommendation,CL,8,0.0340964035590559
User:C/Measure:CL,recommendation,CL,9,0.034450938364529074
User:C/Measure:CL,recommendation,CL,10,0.03491139745283254
User:C/Measure:CL,recommendation,CL,11,0.035325748323904
User:C/Measure:CL,recommendation,CL,12,0.03594820925653615
User:C/Measure:CL,recommendation,CL,13,0.036732672033497
User:C/Measure:CL,recommendation,CL,14,0.0377221294519353
User:C/Measure:CL,recommendation,CL,15,0.038861127034369315
User:C/Measure:CL,recommendation,CL,16,0.040236896543129876
User:C/Measure:CL,recommendation,CL,17,0.041638835580589686
User:C/Measure:CL,recommendation,CL,18,0.043465094833387334
User:C/Measure:CL,recommendation,CL,19,0.04565211973182464
User:C/Measure:CL,recommendation,CL,20,0.04811205542955412
User:C/Measure:C,recommendation,C,1,0.9265552177055554
User:C/Measure:C,recommendation,C,2,0.9337100914687336
User:C/Measure:C,recommendation,C,3,0.9346416020736236
User:C/Measure:C,recommendation,C,4,0.934988659870897
User:C/Measure:C,recommendation,C,5,0.9352030007726242
User:C/Measure:C,recommendation,C,6,0.9347132567355382
User:C/Measure:C,recommendation,C,7,0.9343381601575156
User:C/Measure:C,recommendation,C,8,0.9334758118784737
User:C/Measure:C,recommendation,C,9,0.932510031652668
User:C/Measure:C,recommendation,C,10,0.9314464272362485
User:C/Measure:C,recommendation,C,11,0.9302145901353338
User:C/Measure:C,recommendation,C,12,0.9288120280138574
User:C/Measure:C,recommendation,C,13,0.9270094459536924
User:C/Measure:C,recommendation,C,14,0.9248373750716546
User:C/Measure:C,recommendation,C,15,0.9224908406649552
User:C/Measure:C,recommendation,C,16,0.9196639084814197
User:C/Measure:C,recommendation,C,17,0.9165653116666251
User:C/Measure:C,recommendation,C,18,0.9126486055379708
User:C/Measure:C,recommendation,C,19,0.9082253321037809
User:C/Measure:C,recommendation,C,20,0.9029926725319642
User:C/Measure:CR,recommendation,CR,1,0.034178650649253545
User:C/Measure:CR,recommendation,CR,2,0.030962290955312416
User:C/Measure:CR,recommendation,CR,3,0.030631433342471898
User:C/Measure:CR,recommendation,CR,4,0.03030867582184782
User:C/Measure:CR,recommendation,CR,5,0.030207113127134064
User:C/Measure:CR,recommendation,CR,6,0.030410861600578223
User:C/Measure:CR,recommendation,CR,7,0.030481270094459535
User:C/Measure:CR,recommendation,CR,8,0.030743588465468683
User:C/Measure:CR,recommendation,CR,9,0.03120903222590534
User:C/Measure:CR,recommendation,CR,10,0.031640829449442964
User:C/Measure:CR,recommendation,CR,11,0.032260798046008524
User:C/Measure:CR,recommendation,CR,12,0.032843381601575156
User:C/Measure:CR,recommendation,CR,13,0.03368454502405104
User:C/Measure:CR,recommendation,CR,14,0.03464720982977345
User:C/Measure:CR,recommendation,CR,15,0.03562919024001196
User:C/Measure:CR,recommendation,CR,16,0.03690090471799217
User:C/Measure:CR,recommendation,CR,17,0.0384000448620492
User:C/Measure:CR,recommendation,CR,18,0.04026119681977918
User:C/Measure:CR,recommendation,CR,19,0.042275627445604765
User:C/Measure:CR,recommendation,CR,20,0.044814071729432
User:C/Measure:R,recommendation,R,1,0.0006642075617476261
User:C/Measure:R,recommendation,R,2,0.0006081300002492336
User:C/Measure:R,recommendation,R,3,0.0005719911272836029
User:C/Measure:R,recommendation,R,4,0.0005919298158163647
User:C/Measure:R,recommendation,R,5,0.0006168531764823168
User:C/Measure:R,recommendation,R,6,0.000680407746180495
User:C/Measure:R,recommendation,R,7,0.0007234005433292626
User:C/Measure:R,recommendation,R,8,0.0007863320290107919
User:C/Measure:R,recommendation,R,9,0.0008498865987089699
User:C/Measure:R,recommendation,R,10,0.0009377414450564514
User:C/Measure:R,recommendation,R,11,0.0010336963836203674
User:C/Measure:R,recommendation,R,12,0.0011221743139844976
User:C/Measure:R,recommendation,R,13,0.0012156369164818184
User:C/Measure:R,recommendation,R,14,0.0013109687710290857
User:C/Measure:R,recommendation,R,15,0.0014249931460758169
User:C/Measure:R,recommendation,R,16,0.0015097325723400544
User:C/Measure:R,recommendation,R,17,0.0015932258305709941
User:C/Measure:R,recommendation,R,18,0.0016966577773346958
User:C/Measure:R,recommendation,R,19,0.0018131744884480223
User:C/Measure:R,recommendation,R,20,0.0019085063429952894
User:C/Measure:L,choice,L,1,0.0
User:C/Measure:L,choice,L,2,0.0
User:C/Measure:L,choice,L,3,1.2461680332976099e-05
User:C/Measure:L,choice,L,4,0.0
User:C/Measure:L,choice,L,5,0.0
User:C/Measure:L,choice,L,6,0.0
User:C/Measure:L,choice,L,7,0.0
User:C/Measure:L,choice,L,8,3.7385040998928294e-05
User:C/Measure:L,choice,L,9,1.2461680332976099e-05
User:C/Measure:L,choice,L,10,1.2461680332976099e-05
User:C/Measure:L,choice,L,11,1.2461680332976099e-05
User:C/Measure:L,choice,L,12,1.2461680332976099e-05
User:C/Measure:L,choice,L,13,3.7385040998928294e-05
User:C/Measure:L,choice,L,14,1.2461680332976099e-05
User:C/Measure:L,choice,L,15,2.4923360665952197e-05
User:C/Measure:L,choice,L,16,3.7385040998928294e-05
User:C/Measure:L,choice,L,17,8.723176233083269e-05
User:C/Measure:L,choice,L,18,2.4923360665952197e-05
User:C/Measure:L,choice,L,19,6.230840166488049e-05
User:C/Measure:L,choice,L,20,0.00011215512299678489
User:C/Measure:CL,choice,CL,1,0.01692296189218154
User:C/Measure:CL,choice,CL,2,0.01798220472048451
User:C/Measure:CL,choice,CL,3,0.01900406250778855
User:C/Measure:CL,choice,CL,4,0.019664531565436284
User:C/Measure:CL,choice,CL,5,0.02008822869675747
User:C/Measure:CL,choice,CL,6,0.020362385664082945
User:C/Measure:CL,choice,CL,7,0.020025920295092592
User:C/Measure:CL,choice,CL,8,0.020711312713406274
User:C/Measure:CL,choice,CL,9,0.0204371557460808
User:C/Measure:CL,choice,CL,10,0.021097624803728534
User:C/Measure:CL,choice,CL,11,0.02162101537771353
User:C/Measure:CL,choice,CL,12,0.021321935049722105
User:C/Measure:CL,choice,CL,13,0.021259626648057223
User:C/Measure:CL,choice,CL,14,0.02196994242703686
User:C/Measure:CL,choice,CL,15,0.02226902275502829
User:C/Measure:CL,choice,CL,16,0.023465344066993993
User:C/Measure:CL,choice,CL,17,0.023378112304663162
User:C/Measure:CL,choice,CL,18,0.0232534955013334
User:C/Measure:CL,choice,CL,19,0.024424893452633153
User:C/Measure:CL,choice,CL,20,0.025446751239937192
User:C/Measure:C,choice,C,1,0.9681105600279142
User:C/Measure:C,choice,C,2,0.9655434538793211
User:C/Measure:C,choice,C,3,0.9637115868703736
User:C/Measure:C,choice,C,4,0.9626274206814047
User:C/Measure:C,choice,C,5,0.9621912618697506
User:C/Measure:C,choice,C,6,0.9616304862547665
User:C/Measure:C,choice,C,7,0.9621663385090846
User:C/Measure:C,choice,C,8,0.9609201704757869
User:C/Measure:C,choice,C,9,0.9607581686314582
User:C/Measure:C,choice,C,10,0.9596615407621564
User:C/Measure:C,choice,C,11,0.9590010717045087
User:C/Measure:C,choice,C,12,0.9586646063355183
User:C/Measure:C,choice,C,13,0.959312613712833
User:C/Measure:C,choice,C,14,0.9581162924008674
User:C/Measure:C,choice,C,15,0.9579293671958727
User:C/Measure:C,choice,C,16,0.9558731899409316
User:C/Measure:C,choice,C,17,0.956209655309922
User:C/Measure:C,choice,C,18,0.9550008723176233
User:C/Measure:C,choice,C,19,0.953592702439997
User:C/Measure:C,choice,C,20,0.9516611419883857
User:C/Measure:CR,choice,CR,1,0.014954016399571318
User:C/Measure:CR,choice,CR,2,0.016474341400194402
User:C/Measure:CR,choice,CR,3,0.017271888941504873
User:C/Measure:CR,choice,CR,4,0.017708047753159036
User:C/Measure:CR,choice,CR,5,0.017720509433492012
User:C/Measure:CR,choice,CR,6,0.017994666400817486
User:C/Measure:CR,choice,CR,7,0.01779527951548987
User:C/Measure:CR,choice,CR,8,0.01833113176980784
User:C/Measure:CR,choice,CR,9,0.018754828901129027
User:C/Measure:CR,choice,CR,10,0.01920344939311617
User:C/Measure:CR,choice,CR,11,0.019352989557111882
User:C/Measure:CR,choice,CR,12,0.01996361189342771
User:C/Measure:CR,choice,CR,13,0.019365451237444858
User:C/Measure:CR,choice,CR,14,0.019876380131096875
User:C/Measure:CR,choice,CR,15,0.01973930164743414
User:C/Measure:CR,choice,CR,16,0.020586695910076516
User:C/Measure:CR,choice,CR,17,0.020300077262418066
User:C/Measure:CR,choice,CR,18,0.021645938738379483
User:C/Measure:CR,choice,CR,19,0.021870248984373054
User:C/Measure:CR,choice,CR,20,0.022755028288014355
User:C/Measure:R,choice,R,1,1.2461680332976099e-05
User:C/Measure:R,choice,R,2,0.0
User:C/Measure:R,choice,R,3,0.0
User:C/Measure:R,choice,R,4,0.0
User:C/Measure:R,choice,R,5,0.0
User:C/Measure:R,choice,R,6,1.2461680332976099e-05
User:C/Measure:R,choice,R,7,1.2461680332976099e-05
User:C/Measure:R,choice,R,8,0.0
User:C/Measure:R,choice,R,9,3.7385040998928294e-05
User:C/Measure:R,choice,R,10,2.4923360665952197e-05
User:C/Measure:R,choice,R,11,1.2461680332976099e-05
User:C/Measure:R,choice,R,12,3.7385040998928294e-05
User:C/Measure:R,choice,R,13,2.4923360665952197e-05
User:C/Measure:R,choice,R,14,2.4923360665952197e-05
User:C/Measure:R,choice,R,15,3.7385040998928294e-05
User:C/Measure:R,choice,R,16,3.7385040998928294e-05
User:C/Measure:R,choice,R,17,2.4923360665952197e-05
User:C/Measure:R,choice,R,18,7.477008199785659e-05
User:C/Measure:R,choice,R,19,4.9846721331904394e-05
User:C/Measure:R,choice,R,20,2.4923360665952197e-05
User:CR/Measure:L,recommendation,L,1,0.00031404217137729923
User:CR/Measure:L,recommendation,L,2,4.0904652574354106e-05
User:CR/Measure:L,recommendation,L,3,3.2987623043833954e-05
User:CR/Measure:L,recommendation,L,4,3.1668118122080594e-05
User:CR/Measure:L,recommendation,L,5,3.2987623043833954e-05
User:CR/Measure:L,recommendation,L,6,3.5626632887340666e-05
User:CR/Measure:L,recommendation,L,7,3.6946137809094026e-05
User:CR/Measure:L,recommendation,L,8,3.6946137809094026e-05
User:CR/Measure:L,recommendation,L,9,3.5626632887340666e-05
User:CR/Measure:L,recommendation,L,10,3.1668118122080594e-05
User:CR/Measure:L,recommendation,L,11,3.6946137809094026e-05
User:CR/Measure:L,recommendation,L,12,3.4307127965587313e-05
User:CR/Measure:L,recommendation,L,13,3.8265642730847386e-05
User:CR/Measure:L,recommendation,L,14,4.222415749610746e-05
User:CR/Measure:L,recommendation,L,15,4.750217718312089e-05
User:CR/Measure:L,recommendation,L,16,5.409970179188768e-05
User:CR/Measure:L,recommendation,L,17,6.0697226400654475e-05
User:CR/Measure:L,recommendation,L,18,6.0697226400654475e-05
User:CR/Measure:L,recommendation,L,19,6.333623624416119e-05
User:CR/Measure:L,recommendation,L,20,6.465574116591455e-05
User:CR/Measure:CL,recommendation,CL,1,0.005503655028633257
User:CR/Measure:CL,recommendation,CL,2,0.0018024437231150873
User:CR/Measure:CL,recommendation,CL,3,0.0013538120497189454
User:CR/Measure:CL,recommendation,CL,4,0.001227139577230623
User:CR/Measure:CL,recommendation,CL,5,0.0011888739344997758
User:CR/Measure:CL,recommendation,CL,6,0.0011888739344997758
User:CR/Measure:CL,recommendation,CL,7,0.0012390151215264033
User:CR/Measure:CL,recommendation,CL,8,0.0012495711609004302
User:CR/Measure:CL,recommendation,CL,9,0.001231098091995883
User:CR/Measure:CL,recommendation,CL,10,0.0012944343282400444
User:CR/Measure:CL,recommendation,CL,11,0.0013181854168316048
User:CR/Measure:CL,recommendation,CL,12,0.0013736046235452459
User:CR/Measure:CL,recommendation,CL,13,0.0014646504631462276
User:CR/Measure:CL,recommendation,CL,14,0.0015596548175124693
User:CR/Measure:CL,recommendation,CL,15,0.0016335470931306574
User:CR/Measure:CL,recommendation,CL,16,0.0017694561000712533
User:CR/Measure:CL,recommendation,CL,17,0.0018512654052199615
User:CR/Measure:CL,recommendation,CL,18,0.0019884939170823107
User:CR/Measure:CL,recommendation,CL,19,0.002173224606127781
User:CR/Measure:CL,recommendation,CL,20,0.002361913809938511
User:CR/Measure:C,recommendation,C,1,0.41542237352545325
User:CR/Measure:C,recommendation,C,2,0.3938629826089251
User:CR/Measure:C,recommendation,C,3,0.3849035441902198
User:CR/Measure:C,recommendation,C,4,0.38242023592748003
User:CR/Measure:C,recommendation,C,5,0.38289789670915475
User:CR/Measure:C,recommendation,C,6,0.3850935528989523
User:CR/Measure:C,recommendation,C,7,0.3882669622357691
User:CR/Measure:C,recommendation,C,8,0.3925711872905286
User:CR/Measure:C,recommendation,C,9,0.3972409152086137
User:CR/Measure:C,recommendation,C,10,0.4022101707439369
User:CR/Measure:C,recommendation,C,11,0.4071108120233288
User:CR/Measure:C,recommendation,C,12,0.41226743725754095
User:CR/Measure:C,recommendation,C,13,0.41800596416224634
User:CR/Measure:C,recommendation,C,14,0.4237840762146043
User:CR/Measure:C,recommendation,C,15,0.4293022457973768
User:CR/Measure:C,recommendation,C,16,0.4352888396273718
User:CR/Measure:C,recommendation,C,17,0.4414416910775077
User:CR/Measure:C,recommendation,C,18,0.4476064180719394
User:CR/Measure:C,recommendation,C,19,0.45380413268941494
User:CR/Measure:C,recommendation,C,20,0.45984086770643656
User:CR/Measure:CR,recommendation,CR,1,0.5394531971604254
User:CR/Measure:CR,recommendation,CR,2,0.5559575647217164
User:CR/Measure:CR,recommendation,CR,3,0.5602842213601457
User:CR/Measure:CR,recommendation,CR,4,0.5591230570290027
User:CR/Measure:CR,recommendation,CR,5,0.5545971551473887
User:CR/Measure:CR,recommendation,CR,6,0.5480431742010398
User:CR/Measure:CR,recommendation,CR,7,0.540685614757343
User:CR/Measure:CR,recommendation,CR,8,0.5321589739529728
User:CR/Measure:CR,recommendation,CR,9,0.5228643812841421
User:CR/Measure:CR,recommendation,CR,10,0.5125696038846225
User:CR/Measure:CR,recommendation,CR,11,0.5016401446177394
User:CR/Measure:CR,recommendation,CR,12,0.49041643575330535
User:CR/Measure:CR,recommendation,CR,13,0.4785910326445518
User:CR/Measure:CR,recommendation,CR,14,0.46654791122370887
User:CR/Measure:CR,recommendation,CR,15,0.45461562821629325
User:CR/Measure:CR,recommendation,CR,16,0.4421317921515847
User:CR/Measure:CR,recommendation,CR,17,0.4296255245032064
User:CR/Measure:CR,recommendation,CR,18,0.41713377140896735
User:CR/Measure:CR,recommendation,CR,19,0.40479903940041695
User:CR/Measure:CR,recommendation,CR,20,0.39265959412028606
User:CR/Measure:R,recommendation,R,1,0.03930673211411079
User:CR/Measure:R,recommendation,R,2,0.04833610429366902
