Start,Measure,Value
L,L,0.020813008130077165
L,CL,0.009933774834431943
L,C,0.0005838121420186778
L,CR,1.8213190398957182e-12
L,R,4.865966623810406e-32
CL,L,0.0014400898134445165
CL,CL,0.0048385446213188325
CL,C,0.002450684788354746
CL,CR,8.052552338117951e-06
CL,R,1.0141630911411331e-13
C,L,7.912053564930368e-07
C,CL,0.0006354252034337551
C,C,0.0029260802820215634
C,CR,0.0006270643454935107
C,R,7.535289109455028e-07
CR,L,1.166287554812254e-13
CR,CL,8.374654431637338e-06
CR,C,0.0024565629049752733
CR,CR,0.004800143473529985
CR,R,0.0013981454499463987
R,L,4.865966623810406e-32
R,CL,1.8213190398957182e-12
R,C,0.0005838121420186778
R,CR,0.009933774834431943
R,R,0.020813008130077165
